"X"|"profile_educ"|"profile_gender"|"profile_homeown"|"profile_hhincome"|"profile_marital"|"dem_age_r_x"|"profile_region9"|"pid_x"|"presapp_track"|"presapp_job"|"presapp_jobstr"|"presapp_job_x"|"presapp_econ"|"presapp_econstr"|"presapp_econ_x"|"presapp_foreign"|"presapp_foreignstr"|"presapp_foreign_x"|"presapp_health"|"presapp_healthstr"|"presapp_health_x"|"presapp_war"|"presapp_warstr"|"presapp_war_x"|"libcpre_self"|"libcpre_choose"|"libcpre_dpc"|"libcpre_rpc"|"libcpre_ptyd"|"libcpre_ptyr"|"libcpo_self"|"libcpo_selfch"|"libcpo_hdc"|"libcpo_hrc"|"paprofile_libcon_self"|"paprofile_libcon_pres"
163|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|28|"-1. Inapplicable"|"-2. Missing"|"1. Right direction"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"4. Moderate; middle of the road"|"3. Moderate {VOL}"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"4. Moderate; middle of the road"|"3. Moderate {VOL}"|"3. Slightly liberal"|"-8. Don't know"|"-1. Inapplicable"|"-1. Inapplicable"
193|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|33|"-1. Inapplicable"|"-2. Missing"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-2. Haven't thought much about this"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-2. Haven't thought much {do not probe}"|"-9. Refused"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-1. Inapplicable"
293|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|32|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-2. Haven't thought much about this"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-2. Haven't thought much {do not probe}"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-1. Inapplicable"
316|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|90|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"2. Liberal"|"-1. Inapplicable"|"3. Slightly liberal"|"4. Moderate; middle of the road"|"3. Slightly liberal"|"6. Conservative"|"5. Slightly conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"
701|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|64|"-1. Inapplicable"|"-2. Missing"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"5. Slightly conservative"|"-1. Inapplicable"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"
816|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|30|"-1. Inapplicable"|"-2. Missing"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"3. Slightly liberal"|"-1. Inapplicable"|"3. Slightly liberal"|"6. Conservative"|"2. Liberal"|"7. Extremely conservative"|"2. Liberal"|"-1. Inapplicable"|"2. Liberal"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"
921|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|55|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"2. Liberal"|"-8. Don't know"|"2. Liberal"|"-8. Don't know"|"3. Slightly liberal"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-1. Inapplicable"
936|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|53|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"2. Liberal"|"-1. Inapplicable"|"2. Liberal"|"7. Extremely conservative"|"2. Liberal"|"6. Conservative"|"2. Liberal"|"-1. Inapplicable"|"4. Moderate; middle of the road"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"
986|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|29|"-1. Inapplicable"|"-2. Missing"|"2. Wrong track"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-9. Refused"|"-1. Inapplicable"|"-9. Refused"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Extremely liberal"|"-1. Inapplicable"|"3. Slightly liberal"|"5. Slightly conservative"|"1. Extremely liberal"|"7. Extremely conservative"|"6. Conservative"|"-1. Inapplicable"|"-8. Don't know"|"5. Slightly conservative"|"-1. Inapplicable"|"-1. Inapplicable"
1073|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|60|"-1. Inapplicable"|"-2. Missing"|"-9. Refused"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-2. Haven't thought much about this"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"-9. Refused"|"2. Liberal"|"-1. Inapplicable"|"1. Extremely liberal"|"-8. Don't know"|"-1. Inapplicable"|"-1. Inapplicable"
