"X"|"profile_educ"|"profile_gender"|"profile_homeown"|"profile_hhincome"|"profile_marital"|"dem_age_r_x"|"profile_region9"|"pid_x"|"presapp_track"|"presapp_job"|"presapp_jobstr"|"presapp_job_x"|"presapp_econ"|"presapp_econstr"|"presapp_econ_x"|"presapp_foreign"|"presapp_foreignstr"|"presapp_foreign_x"|"presapp_health"|"presapp_healthstr"|"presapp_health_x"|"presapp_war"|"presapp_warstr"|"presapp_war_x"|"libcpre_self"|"libcpre_choose"|"libcpre_dpc"|"libcpre_rpc"|"libcpre_ptyd"|"libcpre_ptyr"|"libcpo_self"|"libcpo_selfch"|"libcpo_hdc"|"libcpo_hrc"|"paprofile_libcon_self"|"paprofile_libcon_pres"|"Party"
1|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|86|"-1. Inapplicable"|"1. Strong Democrat"|"-8. Don't know"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Extremely liberal"|"-1. Inapplicable"|"1. Extremely liberal"|"7. Extremely conservative"|"1. Extremely liberal"|"7. Extremely conservative"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-6. Not asked, unit nonresponse (no post-election interview)"|"-1. Inapplicable"|"-1. Inapplicable"|"Democrat"
2|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|79|"-1. Inapplicable"|"1. Strong Democrat"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Extremely liberal"|"-1. Inapplicable"|"1. Extremely liberal"|"4. Moderate; middle of the road"|"1. Extremely liberal"|"7. Extremely conservative"|"2. Liberal"|"-1. Inapplicable"|"-1. Inapplicable"|"4. Moderate; middle of the road"|"-1. Inapplicable"|"-1. Inapplicable"|"Democrat"
3|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|72|"-1. Inapplicable"|"1. Strong Democrat"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-2. Haven't thought much about this"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"2. Liberal"|"-1. Inapplicable"|"-1. Inapplicable"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"Democrat"
4|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|54|"-1. Inapplicable"|"1. Strong Democrat"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"2. Disapprove"|"2. Not strongly"|"4. Disapprove not strongly"|"-2. Haven't thought much about this"|"2. Conservative"|"7. Extremely conservative"|"4. Moderate; middle of the road"|"6. Conservative"|"4. Moderate; middle of the road"|"-8. Don't know"|"-8. Don't know"|"-1. Inapplicable"|"-8. Don't know"|"-1. Inapplicable"|"-1. Inapplicable"|"Democrat"
5|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|35|"-1. Inapplicable"|"3. Independent-Democrat"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"2. Liberal"|"-1. Inapplicable"|"3. Slightly liberal"|"6. Conservative"|"2. Liberal"|"7. Extremely conservative"|"2. Liberal"|"-1. Inapplicable"|"-1. Inapplicable"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"Democrat"
NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
7|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|50|"-1. Inapplicable"|"1. Strong Democrat"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-2. Haven't thought much about this"|"2. Conservative"|"7. Extremely conservative"|"3. Slightly liberal"|"6. Conservative"|"2. Liberal"|"-2. Haven't thought much {do not probe}"|"2. Conservative"|"-1. Inapplicable"|"7. Extremely conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"Democrat"
8|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|70|"-1. Inapplicable"|"3. Independent-Democrat"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"-2. Haven't thought much about this"|"1. Liberal"|"7. Extremely conservative"|"-8. Don't know"|"-8. Don't know"|"-8. Don't know"|"-2. Haven't thought much {do not probe}"|"1. Liberal"|"-1. Inapplicable"|"1. Extremely liberal"|"-1. Inapplicable"|"-1. Inapplicable"|"Democrat"
9|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|22|"-1. Inapplicable"|"1. Strong Democrat"|"1. Right direction"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"1. Approve"|"1. Strongly"|"1. Approve strongly"|"4. Moderate; middle of the road"|"-9. Refused"|"4. Moderate; middle of the road"|"6. Conservative"|"4. Moderate; middle of the road"|"6. Conservative"|"4. Moderate; middle of the road"|"-8. Don't know"|"-1. Inapplicable"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"Democrat"
10|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|"-1. Inapplicable"|49|"-1. Inapplicable"|"6. Not very strong Republican"|"2. Wrong track"|"2. Disapprove"|"2. Not strongly"|"4. Disapprove not strongly"|"2. Disapprove"|"1. Strongly"|"5. Disapprove strongly"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"1. Approve"|"2. Not strongly"|"2. Approve not strongly"|"6. Conservative"|"-1. Inapplicable"|"3. Slightly liberal"|"5. Slightly conservative"|"3. Slightly liberal"|"5. Slightly conservative"|"6. Conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"5. Slightly conservative"|"-1. Inapplicable"|"-1. Inapplicable"|"Republican"
